"","Municipality","Ann_cases","Year","State","MunDetailed","GAUL_CODE","Pop","Total_incid","year","GAUL_A2"
"13","SABINAS",76,1996,"COA","SABINAS /-/ COA",5028,60847,0.00124903446349039,1996,5028
"14","COLIMA",38,1996,"COL","COLIMA /-/ COL",6002,146904,0.000258672330229265,1996,6002
"15","MANZANILLO",34,1996,"COL","MANZANILLO /-/ COL",6007,161420,0.000210630652955024,1996,6007
"18","TLAPA",16,1996,"GRO","TLAPA /-/ GRO",12063,9967,0.00160529748168958,1996,12063
"19","ARTEAGA",5,1996,"MIC","ARTEAGA /-/ MIC",16010,21790,0.000229463056447912,1996,16010
"20","CADEREYTA",29,1996,"NLE","CADEREYTA /-/ NLE",19009,86445,0.000335473422407311,1996,19009
"24","OJITLAN",11,1996,"OAX","OJITLAN /-/ OAX",20232,21514,0.000511294970716743,1996,20232
"33","MADERO",67,1996,"TAM","MADERO /-/ TAM",28020,2579,0.025979061651803,1996,28020
"37","TAMPICO",239,1996,"TAM","TAMPICO /-/ TAM",28038,297554,0.000803215550790781,1996,28038
"40","COATZACOALCOS",68,1996,"VER","COATZACOALCOS /-/ VER",30039,305260,0.000222760925113018,1996,30039
"42","ISLA",11,1996,"VER","ISLA /-/ VER",30077,42205,0.000260632626466059,1996,30077
"44","MOLOACAN",5,1996,"VER","MOLOACAN /-/ VER",30111,16120,0.000310173697270471,1996,30111
"46","OZULUAMA",5,1996,"VER","OZULUAMA /-/ VER",30121,23276,0.000214813541845678,1996,30121
"51","TRES VALLES",14,1996,"VER","TRES VALLES /-/ VER",30207,45095,0.000310455704623572,1996,30207
"53","VERACRUZ",200,1996,"VER","VERACRUZ /-/ VER",30193,552156,0.000362216475054151,1996,30193
"55","MOTUL",8,1996,"YUC","MOTUL /-/ YUC",31052,33978,0.000235446465359939,1996,31052
"58","ESCARCEGA",15,1997,"CAM","ESCARCEGA /-/ CAM",4009,54184,0.000276834489886313,1997,4009
"65","MECAPALAPA",6,1997,"PUE","MECAPALAPA /-/ PUE",21111,18435,0.00032546786004882,1997,21111
"77","HUNUCMA",8,1997,"YUC","HUNUCMA /-/ YUC",31038,30731,0.000260323451888972,1997,31038
"92","ARRIAGA",26.6,2000,"CHP","ARRIAGA /-/ CHP",7009,40042,0.000664302482393487,2000,7009
"93","BOCHIL",26.6,2000,"CHP","BOCHIL /-/ CHP",7013,30642,0.000868089550290451,2000,7013
"94","CHIAPA DE CORZO",133,2000,"CHP","CHIAPA DE CORZO /-/ CHP",7027,87603,0.00151821284659201,2000,7027
"96","HUIXTLA",26.6,2000,"CHP","HUIXTLA /-/ CHP",7040,51359,0.000517922856753441,2000,7040
"97","SUCHIAPA",79.8,2000,"CHP","SUCHIAPA /-/ CHP",7086,21045,0.00379187455452602,2000,7086
"98","TECPATAN",79.8,2000,"CHP","TECPATAN /-/ CHP",7092,41045,0.00194420757704958,2000,7092
"99","TONALA",26.6,2000,"CHP","TONALA /-/ CHP",7097,84594,0.000314443104711918,2000,7097
"100","TUXTLA GUTIERREZ",532,2000,"CHP","TUXTLA GUTIERREZ /-/ CHP",7101,553374,0.000961375127852049,2000,7101
"101","VILLA CORZO",26.6,2000,"CHP","VILLA CORZO /-/ CHP",7107,74477,0.000357157243175746,2000,7107
"102","VILLAFLORES",106.4,2000,"CHP","VILLAFLORES /-/ CHP",7108,98618,0.00107891054371413,2000,7108
"104","SALINAS VICTORIA",26.6,2000,"NLE","SALINAS VICTORIA /-/ NLE",19045,32660,0.000814451928965095,2000,19045
"106","SALINA CRUZ",133,2000,"OAX","SALINA CRUZ /-/ OAX",20079,82371,0.00161464593121366,2000,20079
"107","SAN PEDRO HUILOTEPEC",26.6,2000,"OAX","SAN PEDRO HUILOTEPEC /-/ OAX",20308,2839,0.00936949630151462,2000,20308
"108","TEHUANTEPEC",26.6,2000,"OAX","TEHUANTEPEC /-/ OAX",20515,61872,0.000429919834497026,2000,20515
"115","AGUA DULCE",26.6,2000,"VER","AGUA DULCE /-/ VER",30204,46010,0.000578135188002608,2000,30204
"117","CATEMACO",26.6,2000,"VER","CATEMACO /-/ VER",30032,48593,0.000547403947070566,2000,30032
"119","SAN ANDRES TUXTLA",106.4,2000,"VER","SAN ANDRES TUXTLA /-/ VER",30141,157364,0.000676139396558298,2000,30141
"120","ACACOYAGUA",15.9,2001,"CHP","ACACOYAGUA /-/ CHP",7001,16814,0.000945640537647199,2001,7001
"121","ACAPETAHUA",31.8,2001,"CHP","ACAPETAHUA /-/ CHP",7003,27580,0.0011530094271211,2001,7003
"122","BERRIOZABAL",15.9,2001,"CHP","BERRIOZABAL /-/ CHP",7012,43179,0.000368234558465921,2001,7012
"123","CACAHOATAN",63.6,2001,"CHP","CACAHOATAN /-/ CHP",7015,43811,0.00145169021478624,2001,7015
"125","CHICOMUSELO",47.7,2001,"CHP","CHICOMUSELO /-/ CHP",7030,31515,0.00151356496906235,2001,7030
"127","ESCUINTLA",31.8,2001,"CHP","ESCUINTLA /-/ CHP",7032,30068,0.00105760276706133,2001,7032
"128","FRONTERA COMALAPA",63.6,2001,"CHP","FRONTERA COMALAPA /-/ CHP",7034,67012,0.000949083746194711,2001,7034
"129","FRONTERA HIDALGO",15.9,2001,"CHP","FRONTERA HIDALGO /-/ CHP",7035,12665,0.00125542834583498,2001,7035
